MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,SOLR,TLKE,PREC,SINT,FT,FM,PEAK,PDIR,VOLT,DWPF
10,23,2009, 14,45,HST, 82.0,78,18.0,22.0,105,9,568.0,,12.63,,87.0,10,22,110,13.50,74.4
10,23,2009, 15,45,HST, 81.0,81,17.0,22.0,107,9,464.0,,12.63,,86.0,11,22,102,13.80,74.6
10,23,2009, 16,45,HST, 80.0,83,17.0,22.0,108,9,171.0,,12.63,,81.0,13,22,112,13.40,74.4
10,23,2009, 17,45,HST, 79.0,85,16.0,21.0,107,9,65.0,,12.63,,79.0,14,21,104,13.30,74.1
10,23,2009, 18,45,HST, 79.0,87,16.0,21.0,106,9,3.0,,12.63,,78.0,16,21,111,13.20,74.8
10,23,2009, 19,45,HST, 79.0,87,18.0,21.0,98,9,0.0,,12.63,,78.0,17,21,95,13.20,74.8
10,23,2009, 20,45,HST, 79.0,88,19.0,24.0,101,9,0.0,,12.63,,78.0,19,24,105,13.10,75.1
10,23,2009, 21,45,HST, 79.0,89,17.0,25.0,110,9,0.0,,12.63,,78.0,20,25,96,13.10,75.5
10,23,2009, 22,45,HST, 78.0,89,17.0,23.0,105,9,0.0,,12.63,,77.0,20,23,106,13.10,74.5
10,23,2009, 23,45,HST, 78.0,87,16.0,22.0,110,9,0.0,,12.63,,78.0,19,22,113,13.10,73.8
10,24,2009, 0,45,HST, 78.0,87,17.0,22.0,111,9,0.0,,12.63,,78.0,19,22,119,13.10,73.8
10,24,2009, 1,45,HST, 78.0,84,17.0,24.0,111,9,0.0,,12.63,,78.0,19,24,106,13.10,72.8
10,24,2009, 2,45,HST, 78.0,85,16.0,22.0,108,9,0.0,,12.63,,77.0,19,22,99,13.10,73.1
10,24,2009, 3,45,HST, 78.0,89,16.0,22.0,103,9,0.0,,12.63,,77.0,20,22,99,13.00,74.5
10,24,2009, 4,45,HST, 77.0,89,14.0,19.0,106,9,0.0,,12.63,,76.0,20,19,109,13.00,73.5
10,24,2009, 5,45,HST, 77.0,87,7.0,17.0,143,9,0.0,,12.63,,77.0,20,17,103,13.00,72.8
