MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,PMSL,VSBY,TLRW,PLDR,PLSP,WPER,WHGT,PSWD,PSWP,PSWH,SSWD,SSWP,TIDN,DWPF
10,28,2009, 14,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,28,2009, 15,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,28,2009, 15,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,28,2009, 16,21,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,28,2009, 16,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,28,2009, 17,21,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,28,2009, 17,51,HST, ,,,,,9,,,80.4,,,,,,,,,,,
10,28,2009, 18,21,HST, ,,,,,9,,,80.4,,,,,,,,,,,
10,28,2009, 18,51,HST, ,,,,,9,,,80.4,,,,,,,,,,,
10,28,2009, 19,21,HST, ,,,,,9,,,80.4,,,,,,,,,,,
10,28,2009, 19,51,HST, ,,,,,9,,,80.4,,,,,,,,,,,
10,28,2009, 20,21,HST, ,,,,,9,,,80.4,,,,,,,,,,,
10,28,2009, 20,51,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,28,2009, 21,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,28,2009, 21,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,28,2009, 22,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,28,2009, 22,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,28,2009, 23,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
